Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
1959-06-10,The Battle Of New Orleans,Johnny Horton,1,1,1,8,https://charts-static.billboard.com/img/1840/12/johnny-horton-g76-180x180.jpg
1959-06-17,The Battle Of New Orleans,Johnny Horton,1,1,1,9,https://charts-static.billboard.com/img/1840/12/johnny-horton-g76-180x180.jpg
1959-06-24,The Battle Of New Orleans,Johnny Horton,1,1,1,10,https://charts-static.billboard.com/img/1840/12/johnny-horton-g76-180x180.jpg
1959-07-01,The Battle Of New Orleans,Johnny Horton,1,1,1,11,https://charts-static.billboard.com/img/1840/12/johnny-horton-g76-180x180.jpg
1959-07-08,Lonely Boy,Paul Anka,1,2,1,7,https://charts-static.billboard.com/img/1959/06/paul-anka-6sq-180x180.jpg
1959-07-15,Lonely Boy,Paul Anka,1,1,1,8,https://charts-static.billboard.com/img/1959/06/paul-anka-6sq-180x180.jpg
1959-07-22,Lonely Boy,Paul Anka,1,1,1,9,https://charts-static.billboard.com/img/1959/06/paul-anka-6sq-180x180.jpg
1959-07-29,Lonely Boy,Paul Anka,1,1,1,10,https://charts-static.billboard.com/img/1959/06/paul-anka-6sq-180x180.jpg
1959-08-05,A Big Hunk O' Love,Elvis Presley With The Jordanaires,1,2,1,6,https://charts-static.billboard.com/img/1958/08/elvis-presley-yoq.jpg
1959-08-12,A Big Hunk O' Love,Elvis Presley With The Jordanaires,1,1,1,7,https://charts-static.billboard.com/img/1958/08/elvis-presley-yoq.jpg
1959-08-19,The Three Bells,The Browns,1,7,1,5,https://charts-static.billboard.com/img/1959/07/the-browns-26x-180x180.jpg
1959-08-26,The Three Bells,The Browns,1,1,1,6,https://charts-static.billboard.com/img/1959/07/the-browns-26x-180x180.jpg
1959-09-02,The Three Bells,The Browns,1,1,1,7,https://charts-static.billboard.com/img/1959/07/the-browns-26x-180x180.jpg
1959-09-09,The Three Bells,The Browns,1,1,1,8,https://charts-static.billboard.com/img/1959/07/the-browns-26x-180x180.jpg
1959-09-16,Sleep Walk,Santo & Johnny,1,2,1,9,https://charts-static.billboard.com/img/1959/07/santo-johnny-3mm-180x180.jpg
1959-09-23,Sleep Walk,Santo & Johnny,1,1,1,10,https://charts-static.billboard.com/img/1959/07/santo-johnny-3mm-180x180.jpg
1959-09-30,Mack The Knife,Bobby Darin,1,2,1,7,https://charts-static.billboard.com/img/1959/08/bobby-darin-hm6-180x180.jpg
1959-10-07,Mack The Knife,Bobby Darin,1,1,1,8,https://charts-static.billboard.com/img/1959/08/bobby-darin-hm6-180x180.jpg
1959-10-14,Mack The Knife,Bobby Darin,1,1,1,9,https://charts-static.billboard.com/img/1959/08/bobby-darin-hm6-180x180.jpg
1959-10-21,Mack The Knife,Bobby Darin,1,1,1,10,https://charts-static.billboard.com/img/1959/08/bobby-darin-hm6-180x180.jpg
1959-10-28,Mack The Knife,Bobby Darin,1,1,1,11,https://charts-static.billboard.com/img/1959/08/bobby-darin-hm6-180x180.jpg
1959-11-04,Mack The Knife,Bobby Darin,1,1,1,12,https://charts-static.billboard.com/img/1959/08/bobby-darin-hm6-180x180.jpg
1959-11-11,Mr. Blue,The Fleetwoods,1,2,1,11,https://charts-static.billboard.com/img/1959/09/the-fleetwoods-r0g-180x180.jpg
1959-11-18,Mack The Knife,Bobby Darin,1,2,1,14,https://charts-static.billboard.com/img/1959/08/bobby-darin-hm6-180x180.jpg
1959-11-25,Mack The Knife,Bobby Darin,1,1,1,15,https://charts-static.billboard.com/img/1959/08/bobby-darin-hm6-180x180.jpg
1959-12-02,Mack The Knife,Bobby Darin,1,1,1,16,https://charts-static.billboard.com/img/1959/08/bobby-darin-hm6-180x180.jpg
1959-12-09,Heartaches By The Number,Guy Mitchell,1,2,1,11,#
1959-12-16,Heartaches By The Number,Guy Mitchell,1,1,1,12,#
1959-12-23,Why,Frankie Avalon,1,2,1,6,https://charts-static.billboard.com/img/1959/11/frankie-avalon-pf2-106x106.jpg
1959-12-30,El Paso,Marty Robbins,1,2,1,9,https://charts-static.billboard.com/img/1959/11/marty-robbins-7gn-180x180.jpg
1960-01-06,El Paso,Marty Robbins,1,1,1,10,https://charts-static.billboard.com/img/1959/11/marty-robbins-7gn-180x180.jpg
1960-01-13,Running Bear,Johnny Preston,1,4,1,14,https://charts-static.billboard.com/img/1959/10/johnny-preston-eqb-180x180.jpg
1960-01-20,Running Bear,Johnny Preston,1,1,1,15,https://charts-static.billboard.com/img/1959/10/johnny-preston-eqb-180x180.jpg
1960-01-27,Running Bear,Johnny Preston,1,1,1,16,https://charts-static.billboard.com/img/1959/10/johnny-preston-eqb-180x180.jpg
1960-02-03,Teen Angel,Mark Dinning,1,2,1,8,https://charts-static.billboard.com/img/1959/12/mark-dinning-xir-180x180.jpg
1960-02-10,Teen Angel,Mark Dinning,1,1,1,9,https://charts-static.billboard.com/img/1959/12/mark-dinning-xir-180x180.jpg
1960-02-17,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1,6,1,7,#
1960-02-24,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1,1,1,8,#
1960-03-02,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1,1,1,9,#
1960-03-09,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1,1,1,10,#
1960-03-16,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1,1,1,11,#
