Track URI,Song,Artist URI(s),Artist,Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,Date,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
spotify:track:7s25THrKz86DM225dOYwnr,Respect,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,spotify:album:5WndWfzGwCkHzAbQXVkg2V,I Never Loved a Man the Way I Love You,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,1967-03-10,https://i.scdn.co/image/ab67616d0000b2736aa9314b7ddfbd8f036ba3ac,1,1,147600,https://p.scdn.co/mp3-preview/7768dd513193e30ab1ad19deeff2dcc63d2c7555?cid=9950ac751e34487dbbe027c4fd7f8e99,False,80,USAT20801240,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"classic soul,jazz blues,memphis soul,neo soul,soul,southern soul,vocal jazz",0.805,0.558,0.0,-5.226,1.0,0.041,0.164,2.2e-05,0.0546,0.965,114.95,4.0,,Rhino Atlantic,"C © 1967 Atlantic Recording Corp., manufactured and mareketed by Rhino Entertainment Company, a Warner Music Group company, P ℗ 1967 Atlantic Recording Corp., manufactured and mareketed by Rhino Entertainment Company, a Warner Music Group company",1967-06-07,1,1,1,7,https://charts-static.billboard.com/img/1967/04/aretha-franklin-0r8-respect-sny-180x180.jpg
spotify:track:3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,spotify:album:2uDTi1PlpSpvAv7IRAoAEU,HIGHEST IN THE ROOM,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,2019-10-04,https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b,1,1,175720,https://p.scdn.co/mp3-preview/387b31c31b72f0c16e33d0c78bab869b0a0f4eb3?cid=9950ac751e34487dbbe027c4fd7f8e99,True,86,USSM11904276,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"hip hop,rap,slap house",0.598,0.427,7.0,-8.764,0.0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4.0,,Cactus Jack / Epic,P (P) 2019 Epic Records. With Cactus Jack.,2019-10-16,1,1,1,-,https://charts-static.billboard.com/img/2019/10/travis-scott-lu8-highestintheroom-1tw-180x180.jpg
spotify:track:7HW5WIw7ZgZORCzUxv5gW5,Don't Go Breaking My Heart,"spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:4vjGlQWexbru6aOUCLTVir","Elton John, Kiki Dee",spotify:album:4ObsEU7mIXbo2n9A31yfds,Rock Of The Westies,spotify:artist:3PhoLpVuITZKcymswpck5b,Elton John,1975-10-24,https://i.scdn.co/image/ab67616d0000b27342a15a4fe15a8a88ab728d5b,1,10,275440,https://p.scdn.co/mp3-preview/a1ac078e1ebc26f93431ccd9b5eec2c8c6dc2272?cid=9950ac751e34487dbbe027c4fd7f8e99,False,83,GBALX7600007,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"glam rock,mellow gold,piano rock,rock,classic uk pop",0.729,0.844,5.0,-8.824,1.0,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,4.0,,EMI,"C © 1995 Mercury Records Limited, P This Compilation ℗ 1975 This Record Company Ltd.",1976-08-04,1,5,1,6,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg
spotify:track:7HW5WIw7ZgZORCzUxv5gW5,Don't Go Breaking My Heart,"spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:4vjGlQWexbru6aOUCLTVir","Elton John, Kiki Dee",spotify:album:4ObsEU7mIXbo2n9A31yfds,Rock Of The Westies,spotify:artist:3PhoLpVuITZKcymswpck5b,Elton John,1975-10-24,https://i.scdn.co/image/ab67616d0000b27342a15a4fe15a8a88ab728d5b,1,10,275440,https://p.scdn.co/mp3-preview/a1ac078e1ebc26f93431ccd9b5eec2c8c6dc2272?cid=9950ac751e34487dbbe027c4fd7f8e99,False,83,GBALX7600007,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"glam rock,mellow gold,piano rock,rock,classic uk pop",0.729,0.844,5.0,-8.824,1.0,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,4.0,,EMI,"C © 1995 Mercury Records Limited, P This Compilation ℗ 1975 This Record Company Ltd.",1976-08-11,1,1,1,7,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg
spotify:track:7HW5WIw7ZgZORCzUxv5gW5,Don't Go Breaking My Heart,"spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:4vjGlQWexbru6aOUCLTVir","Elton John, Kiki Dee",spotify:album:4ObsEU7mIXbo2n9A31yfds,Rock Of The Westies,spotify:artist:3PhoLpVuITZKcymswpck5b,Elton John,1975-10-24,https://i.scdn.co/image/ab67616d0000b27342a15a4fe15a8a88ab728d5b,1,10,275440,https://p.scdn.co/mp3-preview/a1ac078e1ebc26f93431ccd9b5eec2c8c6dc2272?cid=9950ac751e34487dbbe027c4fd7f8e99,False,83,GBALX7600007,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"glam rock,mellow gold,piano rock,rock,classic uk pop",0.729,0.844,5.0,-8.824,1.0,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,4.0,,EMI,"C © 1995 Mercury Records Limited, P This Compilation ℗ 1975 This Record Company Ltd.",1976-08-18,1,1,1,8,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg
spotify:track:7HW5WIw7ZgZORCzUxv5gW5,Don't Go Breaking My Heart,"spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:4vjGlQWexbru6aOUCLTVir","Elton John, Kiki Dee",spotify:album:4ObsEU7mIXbo2n9A31yfds,Rock Of The Westies,spotify:artist:3PhoLpVuITZKcymswpck5b,Elton John,1975-10-24,https://i.scdn.co/image/ab67616d0000b27342a15a4fe15a8a88ab728d5b,1,10,275440,https://p.scdn.co/mp3-preview/a1ac078e1ebc26f93431ccd9b5eec2c8c6dc2272?cid=9950ac751e34487dbbe027c4fd7f8e99,False,83,GBALX7600007,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"glam rock,mellow gold,piano rock,rock,classic uk pop",0.729,0.844,5.0,-8.824,1.0,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,4.0,,EMI,"C © 1995 Mercury Records Limited, P This Compilation ℗ 1975 This Record Company Ltd.",1976-08-25,1,1,1,9,https://charts-static.billboard.com/img/1970/08/elton-john-m6x-180x180.jpg
spotify:track:2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,spotify:artist:1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,spotify:album:555qwe1qUgLdee80TZ2CQt,I Love Rock 'N' Roll (Expanded Edition),spotify:artist:1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,1981-11-18,https://i.scdn.co/image/ab67616d0000b2733c73b2e0a6aa490736f19751,1,1,175173,https://p.scdn.co/mp3-preview/931dee7b6bcc7c60edc631ff1892e363a47fe222?cid=9950ac751e34487dbbe027c4fd7f8e99,False,81,USBH18100118,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"glam punk,rock",0.535,0.716,4.0,-5.025,1.0,0.0431,0.326,0.0,0.659,0.901,94.379,4.0,,Legacy Recordings,"P (P) 1981 Blackheart Records Group, under exclusive license to Sony Music Entertainment",1982-03-17,1,3,1,7,https://charts-static.billboard.com/img/1981/12/joan-jett-the-blackhearts-rqx-iloverocknroll-n20-180x180.jpg
spotify:track:2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,spotify:artist:1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,spotify:album:555qwe1qUgLdee80TZ2CQt,I Love Rock 'N' Roll (Expanded Edition),spotify:artist:1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,1981-11-18,https://i.scdn.co/image/ab67616d0000b2733c73b2e0a6aa490736f19751,1,1,175173,https://p.scdn.co/mp3-preview/931dee7b6bcc7c60edc631ff1892e363a47fe222?cid=9950ac751e34487dbbe027c4fd7f8e99,False,81,USBH18100118,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"glam punk,rock",0.535,0.716,4.0,-5.025,1.0,0.0431,0.326,0.0,0.659,0.901,94.379,4.0,,Legacy Recordings,"P (P) 1981 Blackheart Records Group, under exclusive license to Sony Music Entertainment",1982-03-24,1,1,1,8,https://charts-static.billboard.com/img/1981/12/joan-jett-the-blackhearts-rqx-iloverocknroll-n20-180x180.jpg
spotify:track:2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,spotify:artist:1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,spotify:album:555qwe1qUgLdee80TZ2CQt,I Love Rock 'N' Roll (Expanded Edition),spotify:artist:1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,1981-11-18,https://i.scdn.co/image/ab67616d0000b2733c73b2e0a6aa490736f19751,1,1,175173,https://p.scdn.co/mp3-preview/931dee7b6bcc7c60edc631ff1892e363a47fe222?cid=9950ac751e34487dbbe027c4fd7f8e99,False,81,USBH18100118,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"glam punk,rock",0.535,0.716,4.0,-5.025,1.0,0.0431,0.326,0.0,0.659,0.901,94.379,4.0,,Legacy Recordings,"P (P) 1981 Blackheart Records Group, under exclusive license to Sony Music Entertainment",1982-03-31,1,1,1,9,https://charts-static.billboard.com/img/1981/12/joan-jett-the-blackhearts-rqx-iloverocknroll-n20-180x180.jpg
spotify:track:2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,spotify:artist:1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,spotify:album:555qwe1qUgLdee80TZ2CQt,I Love Rock 'N' Roll (Expanded Edition),spotify:artist:1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,1981-11-18,https://i.scdn.co/image/ab67616d0000b2733c73b2e0a6aa490736f19751,1,1,175173,https://p.scdn.co/mp3-preview/931dee7b6bcc7c60edc631ff1892e363a47fe222?cid=9950ac751e34487dbbe027c4fd7f8e99,False,81,USBH18100118,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"glam punk,rock",0.535,0.716,4.0,-5.025,1.0,0.0431,0.326,0.0,0.659,0.901,94.379,4.0,,Legacy Recordings,"P (P) 1981 Blackheart Records Group, under exclusive license to Sony Music Entertainment",1982-04-07,1,1,1,10,https://charts-static.billboard.com/img/1981/12/joan-jett-the-blackhearts-rqx-iloverocknroll-n20-180x180.jpg
