Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Track URI
1972-08-02,Alone Again (Naturally),Gilbert O'Sullivan,1,1,1,8,https://charts-static.billboard.com/img/1972/06/gilbert-osullivan-d9c-106x106.jpg,spotify:track:54pvEYFocTlvIAQOfXSjqV
1972-08-09,Alone Again (Naturally),Gilbert O'Sullivan,1,1,1,9,https://charts-static.billboard.com/img/1972/06/gilbert-osullivan-d9c-106x106.jpg,spotify:track:54pvEYFocTlvIAQOfXSjqV
1972-08-16,Alone Again (Naturally),Gilbert O'Sullivan,1,1,1,10,https://charts-static.billboard.com/img/1972/06/gilbert-osullivan-d9c-106x106.jpg,spotify:track:54pvEYFocTlvIAQOfXSjqV
1972-08-23,Brandy (You're A Fine Girl),Looking Glass,1,2,1,11,#,spotify:track:2BY7ALEWdloFHgQZG6VMLA
1972-08-30,Alone Again (Naturally),Gilbert O'Sullivan,1,2,1,12,https://charts-static.billboard.com/img/1972/06/gilbert-osullivan-d9c-106x106.jpg,spotify:track:54pvEYFocTlvIAQOfXSjqV
1972-09-06,Alone Again (Naturally),Gilbert O'Sullivan,1,1,1,13,https://charts-static.billboard.com/img/1972/06/gilbert-osullivan-d9c-106x106.jpg,spotify:track:54pvEYFocTlvIAQOfXSjqV
1972-09-13,Black & White,Three Dog Night,1,9,1,6,https://charts-static.billboard.com/img/1972/08/three-dog-night-299-106x106.jpg,spotify:track:4XcUADpOth9Wroq5EVMFJq
1972-09-20,Baby Don't Get Hooked On Me,Mac Davis,1,2,1,13,https://charts-static.billboard.com/img/1972/06/mac-davis-7l4-180x180.jpg,spotify:track:4z51Gf7Ppt9Lmu5zmnUIz9
1972-09-27,Baby Don't Get Hooked On Me,Mac Davis,1,1,1,14,https://charts-static.billboard.com/img/1972/06/mac-davis-7l4-180x180.jpg,spotify:track:4z51Gf7Ppt9Lmu5zmnUIz9
1972-10-04,Baby Don't Get Hooked On Me,Mac Davis,1,1,1,15,https://charts-static.billboard.com/img/1972/06/mac-davis-7l4-180x180.jpg,spotify:track:4z51Gf7Ppt9Lmu5zmnUIz9
1972-10-11,Ben,Michael Jackson,1,2,1,11,https://charts-static.billboard.com/img/1971/10/michael-jackson-9to-180x180.jpg,spotify:track:0ZFqB9g2FujbmMSrjqsL3j
1972-10-18,My Ding-A-Ling,Chuck Berry,1,7,1,12,https://charts-static.billboard.com/img/1972/08/chuck-berry-qde-180x180.jpg,spotify:track:2L8mIvM1OwkJyGb3WwDFT3
1972-10-25,My Ding-A-Ling,Chuck Berry,1,1,1,13,https://charts-static.billboard.com/img/1972/08/chuck-berry-qde-180x180.jpg,spotify:track:2L8mIvM1OwkJyGb3WwDFT3
1972-11-01,I Can See Clearly Now,Johnny Nash,1,5,1,9,#,spotify:track:0DcrhZ12WcCqruCs8ibXSf
1972-11-08,I Can See Clearly Now,Johnny Nash,1,1,1,10,#,spotify:track:0DcrhZ12WcCqruCs8ibXSf
1972-11-15,I Can See Clearly Now,Johnny Nash,1,1,1,11,#,spotify:track:0DcrhZ12WcCqruCs8ibXSf
1972-11-22,I Can See Clearly Now,Johnny Nash,1,1,1,12,#,spotify:track:0DcrhZ12WcCqruCs8ibXSf
1972-11-29,Papa Was A Rollin' Stone,The Temptations,1,5,1,8,https://charts-static.billboard.com/img/1972/10/the-temptations-h9s-papawasarollinstone-9vj-180x180.jpg,spotify:track:7MiLmLbwNoyf47xQ4TCVYp
1972-12-06,I Am Woman,Helen Reddy,1,2,1,16,https://charts-static.billboard.com/img/1972/06/helen-reddy-zdq-180x180.jpg,spotify:track:3l2hbXdvmaH3tUd3qWLKgm
1972-12-13,Me And Mrs. Jones,Billy Paul,1,6,1,7,https://charts-static.billboard.com/img/1972/10/billy-paul-7vx-106x106.jpg,spotify:track:6Ro2z4RtAUew9Kz2HZWZUi
1972-12-20,Me And Mrs. Jones,Billy Paul,1,1,1,8,https://charts-static.billboard.com/img/1972/10/billy-paul-7vx-106x106.jpg,spotify:track:6Ro2z4RtAUew9Kz2HZWZUi
1972-12-27,Me And Mrs. Jones,Billy Paul,1,1,1,9,https://charts-static.billboard.com/img/1972/10/billy-paul-7vx-106x106.jpg,spotify:track:6Ro2z4RtAUew9Kz2HZWZUi
1973-01-03,You're So Vain,Carly Simon,1,4,1,6,https://charts-static.billboard.com/img/1972/12/carly-simon-ad8-youresovain-qtx-180x180.jpg,spotify:track:2DnJjbjNTV9Nd5NOa1KGba
1973-01-10,You're So Vain,Carly Simon,1,1,1,7,https://charts-static.billboard.com/img/1972/12/carly-simon-ad8-youresovain-qtx-180x180.jpg,spotify:track:2DnJjbjNTV9Nd5NOa1KGba
1973-01-17,You're So Vain,Carly Simon,1,1,1,8,https://charts-static.billboard.com/img/1972/12/carly-simon-ad8-youresovain-qtx-180x180.jpg,spotify:track:2DnJjbjNTV9Nd5NOa1KGba
