Date,Song,Artist,Weeks in Charts,Track ID
1959-10-28,Mack The Knife,Bobby Darin,11,3E5ndyOfO6vFDEIE42HA8o
1959-11-04,Mack The Knife,Bobby Darin,12,3E5ndyOfO6vFDEIE42HA8o
1959-11-11,Mr. Blue,The Fleetwoods,11,6bnFjTW3EnMG4BwreDnSHK
1959-11-18,Mack The Knife,Bobby Darin,14,3E5ndyOfO6vFDEIE42HA8o
1959-11-25,Mack The Knife,Bobby Darin,15,3E5ndyOfO6vFDEIE42HA8o
1959-12-02,Mack The Knife,Bobby Darin,16,3E5ndyOfO6vFDEIE42HA8o
1959-12-09,Heartaches By The Number,Guy Mitchell,11,0mmveflIg5uKskiCOdRV3e
1959-12-16,Heartaches By The Number,Guy Mitchell,12,0mmveflIg5uKskiCOdRV3e
1959-12-23,Why,Frankie Avalon,6,3PNLqKBbWaTBGt9Y1lM1eB
1959-12-30,El Paso,Marty Robbins,9,4f8hBeMXMvssn6HtFAtblo
1960-01-06,El Paso,Marty Robbins,10,4f8hBeMXMvssn6HtFAtblo
1960-01-13,Running Bear,Johnny Preston,14,1mE8QtaSFxEQnr3SgxmIRf
1960-01-20,Running Bear,Johnny Preston,15,1mE8QtaSFxEQnr3SgxmIRf
1960-01-27,Running Bear,Johnny Preston,16,1mE8QtaSFxEQnr3SgxmIRf
1960-02-03,Teen Angel,Mark Dinning,8,7aNVTsJFlnaUTEBO6fvWho
1960-02-10,Teen Angel,Mark Dinning,9,7aNVTsJFlnaUTEBO6fvWho
1960-02-17,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,7,6zwvB879PJSpTyFcg2wwnL
1960-02-24,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,8,6zwvB879PJSpTyFcg2wwnL
1960-03-02,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,9,6zwvB879PJSpTyFcg2wwnL
1960-03-09,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,10,6zwvB879PJSpTyFcg2wwnL
1960-03-16,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,11,6zwvB879PJSpTyFcg2wwnL
1960-03-23,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,12,6zwvB879PJSpTyFcg2wwnL
1960-03-30,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,13,6zwvB879PJSpTyFcg2wwnL
1960-04-06,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,14,6zwvB879PJSpTyFcg2wwnL
1960-04-13,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,15,6zwvB879PJSpTyFcg2wwnL
1960-04-20,Stuck On You,Elvis Presley With The Jordanaires,4,7bA1DHtoJAvqyL42gHwOLa
1960-04-27,Stuck On You,Elvis Presley With The Jordanaires,5,7bA1DHtoJAvqyL42gHwOLa
1960-05-04,Stuck On You,Elvis Presley With The Jordanaires,6,7bA1DHtoJAvqyL42gHwOLa
1960-05-11,Stuck On You,Elvis Presley With The Jordanaires,7,7bA1DHtoJAvqyL42gHwOLa
1960-05-18,Cathy's Clown,The Everly Brothers,6,27bw4i8LnECzVlbMZ4kFHw
1960-05-25,Cathy's Clown,The Everly Brothers,7,27bw4i8LnECzVlbMZ4kFHw
1960-06-01,Cathy's Clown,The Everly Brothers,8,27bw4i8LnECzVlbMZ4kFHw
1960-06-08,Cathy's Clown,The Everly Brothers,9,27bw4i8LnECzVlbMZ4kFHw
1960-06-15,Cathy's Clown,The Everly Brothers,10,27bw4i8LnECzVlbMZ4kFHw
1960-06-22,Everybody's Somebody's Fool,Connie Francis,8,1qC8zQRrdkZCwzQ5N4ECoD
1960-06-29,Everybody's Somebody's Fool,Connie Francis,9,1qC8zQRrdkZCwzQ5N4ECoD
1960-07-06,Alley-Oop,Hollywood Argyles,7,2bgl6miORpyE4ql0gl7KHR
1960-07-13,I'm Sorry,Brenda Lee,8,4LJcNiq2pBb8OeqrGdBJQw
1960-07-20,I'm Sorry,Brenda Lee,9,4LJcNiq2pBb8OeqrGdBJQw
1960-07-27,I'm Sorry,Brenda Lee,10,4LJcNiq2pBb8OeqrGdBJQw
1960-08-03,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,6,4aTCNddtjztjuK2EOgz7ZZ
1960-08-10,It's Now Or Never,Elvis Presley With The Jordanaires,5,6yP3V5FXNNJU8Z441vxhCV
1960-08-17,It's Now Or Never,Elvis Presley With The Jordanaires,6,6yP3V5FXNNJU8Z441vxhCV
1960-08-24,It's Now Or Never,Elvis Presley With The Jordanaires,7,6yP3V5FXNNJU8Z441vxhCV
1960-08-31,It's Now Or Never,Elvis Presley With The Jordanaires,8,6yP3V5FXNNJU8Z441vxhCV
1960-09-07,It's Now Or Never,Elvis Presley With The Jordanaires,9,6yP3V5FXNNJU8Z441vxhCV
1960-09-14,The Twist,Chubby Checker,8,4YCnTYbq3oL1Lqpyxg33CU
1960-09-21,My Heart Has A Mind Of Its Own,Connie Francis,7,7qinPLZ41lgIGuT40EAFs0
1960-09-28,My Heart Has A Mind Of Its Own,Connie Francis,8,7qinPLZ41lgIGuT40EAFs0
1960-10-05,Mr. Custer,Larry Verne,7,0afR4FfSwgg5QFF1Wpuwil
1960-10-12,Save The Last Dance For Me,The Drifters,7,391TUcoPonqYykPkSZ5Z9U
1960-10-19,I Want To Be Wanted,Brenda Lee,7,03cB3gd91JsP3bCERC6Lmf
1960-10-26,Save The Last Dance For Me,The Drifters,9,391TUcoPonqYykPkSZ5Z9U
1960-11-02,Save The Last Dance For Me,The Drifters,10,391TUcoPonqYykPkSZ5Z9U
1960-11-09,Georgia On My Mind,Ray Charles,8,6yMGxqKj0218mFR5KqsMRq
1960-11-16,Stay,Maurice Williams & The Zodiacs,8,12BB5t506Of3s3NPBoKScC
1960-11-23,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,3,4xUqqie4bBKufHtlMuZS3k
1960-11-30,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,4,4xUqqie4bBKufHtlMuZS3k
1960-12-07,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,5,4xUqqie4bBKufHtlMuZS3k
1960-12-14,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,6,4xUqqie4bBKufHtlMuZS3k
1960-12-21,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,7,4xUqqie4bBKufHtlMuZS3k
1960-12-28,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,8,4xUqqie4bBKufHtlMuZS3k
1961-01-04,Wonderland By Night,Bert Kaempfert And His Orchestra,9,5Ik1BD4gKzxofvNgSRQbCF
1961-01-11,Wonderland By Night,Bert Kaempfert And His Orchestra,10,5Ik1BD4gKzxofvNgSRQbCF
1961-01-18,Wonderland By Night,Bert Kaempfert And His Orchestra,11,5Ik1BD4gKzxofvNgSRQbCF
1961-01-25,Will You Love Me Tomorrow,The Shirelles,11,4QMvxtZGcmvwWtmmoiRs5B
1961-02-01,Will You Love Me Tomorrow,The Shirelles,12,4QMvxtZGcmvwWtmmoiRs5B
1961-02-08,Calcutta,Lawrence Welk And His Orchestra,10,10VtM4vN0l9y4r0YTjVYaA
1961-02-15,Calcutta,Lawrence Welk And His Orchestra,11,10VtM4vN0l9y4r0YTjVYaA
1961-02-22,Pony Time,Chubby Checker,6,45gAw2xmDx9DZAnoiJK723
1961-03-01,Pony Time,Chubby Checker,7,45gAw2xmDx9DZAnoiJK723
1961-03-08,Pony Time,Chubby Checker,8,45gAw2xmDx9DZAnoiJK723
1961-03-15,Surrender,Elvis Presley With The Jordanaires,5,366wRPrx2airjcCRkxgoS2
1961-03-22,Surrender,Elvis Presley With The Jordanaires,6,366wRPrx2airjcCRkxgoS2
1961-03-29,Blue Moon,The Marcels,5,0pnfT3OLqlnIvO0uMYgCfM
1961-04-05,Blue Moon,The Marcels,6,0pnfT3OLqlnIvO0uMYgCfM
1961-04-12,Blue Moon,The Marcels,7,0pnfT3OLqlnIvO0uMYgCfM
1961-04-19,Runaway,Del Shannon,8,45Szkclj1lt4ubm7RFK68t
1961-04-26,Runaway,Del Shannon,9,45Szkclj1lt4ubm7RFK68t
1961-05-03,Runaway,Del Shannon,10,45Szkclj1lt4ubm7RFK68t
1961-05-10,Runaway,Del Shannon,11,45Szkclj1lt4ubm7RFK68t
1961-05-17,Mother-In-Law,Ernie K-Doe,9,7qEwxMKJu8EsjvOoxMJoTT
1961-05-24,Travelin' Man,Ricky Nelson,6,1sM0yZDxUhPQhkDh2CLd6l
1961-05-31,Running Scared,Roy Orbison,9,6sbj89WozjblBMa5u41orw
1961-06-07,Travelin' Man,Ricky Nelson,8,1sM0yZDxUhPQhkDh2CLd6l
1961-06-14,Moody River,Pat Boone,8,2TEdI0KNrYHo4UPhrt0ais
1961-06-21,Quarter To Three,U.S. Bonds,6,5mOECh8BAECe5HEHzJUvpd
1961-06-28,Quarter To Three,U.S. Bonds,7,5mOECh8BAECe5HEHzJUvpd
