track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
6yP3V5FXNNJU8Z441vxhCV,0.633,0.365,4,-14.94,1,0.0403,0.428,0.00378,0.5690000000000001,0.743,126.266,193907,4,193.90668,0.737,1.0,0.799,0.556
4YCnTYbq3oL1Lqpyxg33CU,0.5710000000000001,0.618,4,-5.682,1,0.0371,0.18,2.69e-06,0.178,0.852,156.892,155040,4,155.04,0.399,0.751,0.692,0.497
7qinPLZ41lgIGuT40EAFs0,0.495,0.539,6,-6.088,1,0.0336,0.8190000000000001,0.0,0.325,0.715,109.49,152267,4,152.26666,0.101,1.0,0.712,0.871
0afR4FfSwgg5QFF1Wpuwil,0.6940000000000001,0.6990000000000001,4,-4.863,0,0.0544,0.707,8.480000000000001e-05,0.156,0.585,108.495,184867,4,184.86667,0.491,0.834,0.966,0.758
391TUcoPonqYykPkSZ5Z9U,0.54,0.53,4,-10.583,1,0.0361,0.614,0.0,0.198,0.896,143.453,154960,4,154.96,0.168,1.0,0.837,0.662
03cB3gd91JsP3bCERC6Lmf,0.515,0.412,8,-6.322,1,0.0277,0.593,0.0,0.218,0.392,107.61,185960,3,185.96,0.719,1.0,0.536,0.658
6yMGxqKj0218mFR5KqsMRq,0.19,0.323,7,-12.405,1,0.0303,0.626,2.17e-06,0.176,0.281,94.34,219560,4,219.56,0.022,0.091,0.184,0.385
12BB5t506Of3s3NPBoKScC,0.485,0.755,8,-6.839,0,0.0705,0.8260000000000001,0.0,0.329,0.8160000000000001,123.495,97493,4,97.49333,0.558,1.0,0.44,0.473
4xUqqie4bBKufHtlMuZS3k,0.433,0.0748,0,-19.351,1,0.049,0.92,0.00104,0.105,0.193,73.093,186667,3,186.66667,0.0,0.906,0.631,0.484
5Ik1BD4gKzxofvNgSRQbCF,0.211,0.233,4,-10.208,1,0.0291,0.907,0.919,0.279,0.239,71.351,195227,4,195.22667,0.134,0.98,0.928,0.562
4QMvxtZGcmvwWtmmoiRs5B,0.513,0.379,0,-9.679,1,0.0314,0.686,2.6200000000000003e-05,0.417,0.509,135.756,160320,4,160.32,0.377,1.0,0.707,0.586
10VtM4vN0l9y4r0YTjVYaA,0.481,0.7000000000000001,7,-6.85,1,0.0287,0.836,0.892,0.283,0.94,81.763,135533,4,135.53333,0.538,1.0,0.465,0.588
45gAw2xmDx9DZAnoiJK723,0.509,0.7020000000000001,3,-5.695,1,0.0514,0.526,0.0,0.124,0.947,154.571,148733,4,148.73334,0.159,1.0,0.612,0.588
