Song,Artist,Track ID
fingertips - pt 2,little stevie,6SvMoVRctg7Z3jDtlYIYlL
my boyfriend's back,the angels,5NiFSI8iIDtVm1NCwdYrHS
blue velvet,bobby vinton,3WO8ZBnOtad3xMz46Z54pY
sugar shack,jimmy gilmer,18CglpvgJf2PbHcFijT6gf
deep purple,nino tempo,5kJez8nvgq0HqhWy3UTQFx
i'm leaving it up,dale grace,4To8mxhdtvoKpELxEHOGGU
dominique,the singing,4ns69146GVKS3AwM922kTE
there i've said it,bobby vinton,3mwiyHBHfAzOe89MwqJeEb
i want to hold,the beatles,5Qe7NHxeLAn8KoLTNLSdwe
she loves you,the beatles,0qsS2A3hwicJCLtcaR6JRQ
can't buy me love,the beatles,3SdingSsFcZDZAyvcJbgAw
hello dolly,louis armstrong,63kd4m3VFxcJjPVVtbVNAu
my guy,mary wells,4591VqUIXysNlmI5NcAIUd
love me do,the beatles,3VbGCXWRiouAq8VyMYN2MI
chapel of love,the dixie,7vVG9xbmNQrtdSPTi7KDUm
a world without love,peter and,7fO6hgP2MnAjVtSxResRw2
i get around,the beach,3v9xlH6BpmRbqL7hgNJhfT
rag doll,the 4,6kAROIu6CLVjulTqSPYmAP
a hard day's night,the beatles,65vdMBskhx3akkG9vQlSH1
everybody loves somebody,dean martin,5I9sHwLDX28tLtzVgKLtpr
where did our love,the supremes,69RH84na5iUNwrwxpgjC5j
house of the rising,the animals,7BY005dacJkbO6EPiOh2wb
oh pretty woman,roy orbison,48i055G1OT5KxGGftwFxWy
do wah diddy diddy,manfred mann,48ZjHLkaHpXIlGGYUlb3bZ
baby love,the supremes,5uES1C2NgkdrNHiCwf9jRr
leader of the pack,the shangri-las,6O5PIO5pAWxdoxvaUFQ02G
ringo,lorne greene,5GHbWzjRy1XfnTf5rkA8bf
mr. lonely,bobby vinton,5KG2ahk1cONbHvg3dBdTbx
come see about me,the supremes,307kcWJQNMdiYYKj1LgClU
i feel fine,the beatles,4gxs9En3aoaOm2J5wNMMm9
downtown,petula clark,6S55C80YzjhSrCRRd1p80b
you've lost that lovin',the righteous,6AeyHqzNHJthYJbn0tvJ4b
this diamond ring,gary lewis,44zDLad2CZrhWg2lg9nfuy
my girl,the temptations,745H5CctFr12Mo7cqa1BMH
eight days a week,the beatles,1Dg4dFJr3HW7sbA7vPejre
stop in the name,the supremes,52FlwUMMDnTK8TGkCag9Jd
i'm telling you now,freddie and,3qC08srhXBJ6DEQ7CwPMB0
game of love,wayne fontana,0jUfBCWrfrZGueD8MjvgMo
mrs. brown you've got,herman's hermits,1GJCJpKYfzRUsYnSRy4Mfz
ticket to ride,the beatles,7CZiDzGVjUssMSOXrDNYHL
help me rhonda,the beach,3haZcHm3HydDVxm3je3Zmg
back in my arms,the supremes,2WjW8DjQru6Ic4KvYDqLys
i can't help myself,four tops,6b6IMqP565TbtFFZg9iFf3
mr. tambourine man,the byrds,2HCaIYjkvWSZzaSKUoOh3d
satisfaction,the rolling,2PzU4IB8Dr6mxV3lHuaG34
i'm henry viii i,herman's hermits,39Jr3Nu48BQzLSmlPGSniP
i got you babe,sonny cher,4SGBuq37Ol4HJr7pQqFMKa
help,the beatles,7DD7eSuYSC5xk2ArU62esN
eve of destruction,barry mcguire,1Zi2ezNOqt9y9irC11xYpN
hang on sloopy,the mccoys,0i7O5MtSTXvR4BEY7stpjF
yesterday,the beatles,3BQHpFgAp4l80e1XslIjNI
get off of my,the rolling,263Iuyk08ks1v6FIudUIGD
i hear a symphony,the supremes,5SCB7L1alKg7ZEeSw7Sq9f
turn turn turn,the byrds,5qBqBdfTEIWJwAS0Jm2F5R
over and over,the dave,0SKS8mR9wgXcr670BzR9fg
the sound of silence,simon garfunkel,5y788ya4NvwhBznoDIcXwK
we can work it,the beatles,1hTUFqJuQAMjXVGwUPWDqi
my love,petula clark,1VkjC0VqC21vNPnkzBUWtt
lightnin' strikes,lou christie,2OQhFe5jjTnMWaaDRZxz31
these boots are made,nancy sinatra,2HEgBBls7l0smWTxPx0MtZ
the ballad of the,ssgt barry,0yjNmllr3Ew6f97TqPuEqa
soul and inspiration,the righteous,5ZHOiRqKOzgFMfMAu8cwzp
good lovin',the young,0XnhQGfqfi5CnZXcONJuI5
monday monday,the mamas,3EFb1qDgIqf9MegIryKtDj
when a man loves,percy sledge,51FpzuGkRYXFgsE2zXt9av
paint it black,the rolling,63T7DJ1AFDD6Bn8VzG6JE8
paperback writer,the beatles,0Ui8KPWZbJJQ2Y0CIQuVqX
strangers in the night,frank sinatra,74VR3AkGPhbYXnxcOYa16x
hanky panky,tommy james,3uqEiaO6MUoM89nLSIs05c
wild thing,the troggs,7jGzYUZ2Bgg8BDfYlQRfn8
summer in the city,the lovin',7AzFID6u1b3zIWbd9pb8Dk
sunshine superman,donovan,4RGxUjaCmVtD30pIhtEi7w
you can't hurry love,the supremes,1OppEieGNdItZbE14gLBEv
cherish,the association,7uGeDI6nJEdUYMsMd7mQyl
reach out i'll be,four tops,6Pkj4nv5K53i64cLVgkVyY
96 tears,the mysterians,4PEeZ2U4UfP2Jo8EtIOjus
last train to clarksville,the monkees,3h4t9qpFktohHeUQc3hZCa
poor side of town,johnny rivers,60DmpUd1BnemzjASiUewnf
you keep me hangin',the supremes,4a01ClusxuZiloOK5UgLUn
winchester cathedral,the new,3Q51jQuzjEDMTyFX4pT2dK
good vibrations,the beach,5t9KYe0Fhd5cW6UYT4qP8f
i'm a believer,the monkees,3G7tRC24Uh09Hmp1KZ7LQ2
kind of a drag,the buckinghams,3RnsnfrquBAy6kIejQzc2C
ruby tuesday,the rolling,4hupcimlg3UBbW1kAQ6vrT
love is here and,the supremes,4KUGhh0lsJ8GxQJ1Um8UrB
penny lane,the beatles,1h04XMpzGzmAudoI6VHBgA
happy together,the turtles,1JO1xLtVc8mWhIoE3YaCL0
somethin' stupid,nancy sinatra,4feXcsElKIVsGwkbnTHAfV
the happening,the supremes,6IrBgAF2nSiwrdbIcaCKnp
groovin',the young,3c2kMiSB86tVq1J4oULmvL
respect,aretha franklin,7s25THrKz86DM225dOYwnr
windy,the association,1lHiKWnlJtjzA4vHnjAr39
light my fire,the doors,5uvosCdMlFdTXhoazkTI5R
all you need is,the beatles,68BTFws92cRztMS1oQ7Ewj
ode to billie joe,bobbie gentry,4FdDorlbJTVHcH3djLbIfn
the letter,the box,6RJK553YhstRzyKA4mug09
to sir with love,lulu,0gBFr7N2D1GfhkXIIepIGG
incense and peppermints,strawberry alarm,16iApoNZYaN6gbMtRRVV6B
daydream believer,the monkees,7uEcCGtM1FBBGIhPozhJjv
hello goodbye,the beatles,0vZ97gHhemKm6c64hTfJNA
judy in disguise,john fred,2p7mA5rSVwIaoNslO9zylp
green tambourine,the lemon,240FNg8tSGXr9OGswVMuO6
love is blue,paul mauriat,6vUhLEkY17FlxjEysVA6SX
the dock of the,otis redding,3zBhihYUHBmGd2bcQIobrF
honey,bobby goldsboro,2Qhvi6R73Zj3cpzRYzcAww
tighten up,archie bell,6IIcvtmuGpWIasqOpyGlyY
mrs. robinson,simon garfunkel,0iOZM63lendWRTTeKhZBSC
this guy's in love,herb alpert,5hffP5gJFe1zByXf7BIeYq
grazing in the grass,hugh masekela,2P6Buc8kWRgShx7aHIadqu
hello i love you,the doors,3bWGaqVeYKMlLss40mPgNn
people got to be,the rascals,5tUEIByLWg1sYWajZ2x5zx
harper valley p.t.a.,jeannie c.,63EQVLdtGL6rZf8mPKW7QY
hey jude,the beatles,0aym2LBJBk9DAYuHHutrIl
love child,diana ross,69EILuL34ggLWQsa626bes
i heard it through,marvin gaye,1tqT6DhmsrtQgyCKUwotiw
crimson and clover,tommy james,74ohdXevc7VsXl96ofi3Kn
everyday people,sly the,4ZVZBc5xvMyV3WzWktn8i7
dizzy,tommy roe,5LvIl1VHaqtCJJXwrB8QR9
aquarius let the sunshine,the 5th,0HZlND4giwzgolBpaNIRGV
get back,the beatles,4MLBqAEzNN89o2M9h92Z26
love theme from romeo,henry mancini,0oFkaYVT0tVb9v5sOaMvJv
in the year 2525,zager evans,5UVsbUV0Kh033cqsZ5sLQi
honky tonk women,the rolling,7HIG9Utsra6sL79nA1Tn0y
sugar sugar,the archies,6MTd61g9zq6CB1FnJydjEb
i can't get next,the temptations,6aL6pPBaTMGgM558mplSnj
suspicious minds,elvis presley,1H5IfYyIIAlgDX8zguUzns
wedding bell blues,the 5th,0bzNvVatHKKtAudmRvar8J
come together something,the beatles,1aIh8C6OpXxOdM4pJatdIW
na na hey hey,steam,1mrSHPNTDdMkXpR4BiSiD7
leaving on a jet,peter paul,6ZSTinOwx5dKFYc6iYyGDn
someday we'll be together,diana ross,79Yk6AlSKi5dxDFINID2hS
raindrops keep fallin' on,b.j. thomas,2s1Yh0AywJhLsKKZ9vM0tm
i want you back,jackson 5,5LxvwujISqiB8vpRYv887S
venus,the shocking,0Z3xhSOhrawLV81YdiDiiJ
thank you falettinme be,sly the,74iQ3gahRTOGc19bYadBE3
bridge over troubled water,simon garfunkel,6l8EbYRtQMgKOyc1gcDHF9
let it be,the beatles,7iN1s7xHE4ifF5povM6A48
abc,jackson 5,6D8kc7RO0rqBLSo2YPflJ5
american woman no sugar,the guess,0emHuukZSuaOzOlsAWHj2W
everything is beautiful,ray stevens,6dK0AYajyKG5xiduYXkISl
the long and winding,the beatles,3mlMpmY8oZIBFc39D9zLbh
the love you save,jackson 5,39SyB2NWiRlMtcKrI2rr4k
mama told me,three dog,1CAO7hiNOxJRPW4nFv2aRO
close to you,carpenters,50q2aUjWoTn6CJIfSPRJQA
make it with you,bread,7wWw7hBmErNg9u5w6Xx0vy
war,edwin starr,4ZEEcEMGjkWOfZNBcIB9yE
ain't no mountain high,diana ross,1KbuhBnzMHp4eq1q6flhWd
cracklin' rosie,neil diamond,5pkd9ib1RgbkAd1R9bIOCa
i'll be there,jackson 5,5RdhBLmB4DyFHLglRrfx63
i think i love,the partridge,22vqiTM3mI3r4P1P2N4qUi
the tears of a,smokey robinson,6QyQmdvQ1ywNccYa0pwLNQ
my sweet lord isn't,george harrison,0KZodeWxqxd88F9wY1cqgs
knock three times,dawn,5eieTS268veCXyZoLoy7eP
one bad apple,the osmonds,50UoJUrslRVqG0cg6uboyn
me and bobby mcgee,janis joplin,1IqFh00G2kvvMm8pRMpehA
just my imagination,the temptations,39Bd345OWEhRNyfayhp9gv
joy to the world,three dog,2ymeOsYijJz09LfKw3yM2x
brown sugar,the rolling,61UuPxxYUvacEH6SHIK3sU
want ads,the honey,0zDHmuznzH58kkLutgrbiD
it's too late i,carole king,12q3V8ShACq2PSWINMc2rC
indian reservation,the raiders,3mDOHVY9MWZOTODSNF5GBj
you've got a friend,james taylor,6zV8IpLvw0tkRSVCFQJB1y
how can you mend,bee gees,1jy0RbDHyBMTupSdc98XbG
uncle albert admiral halsey,paul linda,5SwgE4wA0P7f6AEz2UQMB2
go away little girl,donny osmond,6SvOdNsEfi7EDB0oFtH3YG
maggie may reason to,rod stewart,7hBTWJwdCkZt7IjUsENqmv
gypsys tramps & thieves,cher,6fsSZbNL7XP9gf1kJ2l155
theme from shaft,isaac hayes,7KMILVTQdVS4zQ8ilTcpRO
family affair,sly the,4f3u4Oy0JqJRIhMmTqRcxj
brand new key,melanie,7da5B9d2oVV16YSzXVxmrR
american pie,don mclean,1fDsrQ23eTAVFElUMaf38X
let's stay together,al green,63xdwScd1Ai1GigAwQxE8y
without you,nilsson,6MrILERJLA3Jcq0E9poZsp
heart of gold,neil young,26QKxvjlCo2fSd3T4c8Zpb
a horse with no,america,54eZmuggBFJbV7k248bTTt
the first time ever,roberta flack,0SxFyA4FqmEQqZVuAlg8lf
oh girl,the chi-lites,0cFlXjTxFdMGGPfLVpt3Wv
i'll take you there,the staple,5YLnfy7R2kueN0BRPkjiEG
the candy man,sammy davis,5X3XrHlCFVGqNKpGp85xVC
song sung blue,neil diamond,57KfogSy3eKuk5JHLKwCJv
lean on me,bill withers,3M8FzayQWtkvOhqMn2V4T2
alone again,gilbert o'sullivan,54pvEYFocTlvIAQOfXSjqV
brandy,looking glass,2BY7ALEWdloFHgQZG6VMLA
black & white,three dog,4XcUADpOth9Wroq5EVMFJq
baby don't get hooked,mac davis,4z51Gf7Ppt9Lmu5zmnUIz9
ben,michael jackson,0ZFqB9g2FujbmMSrjqsL3j
my ding-a-ling,chuck berry,2L8mIvM1OwkJyGb3WwDFT3
i can see clearly,johnny nash,0DcrhZ12WcCqruCs8ibXSf
papa was a rollin',the temptations,7MiLmLbwNoyf47xQ4TCVYp
i am woman,helen reddy,3l2hbXdvmaH3tUd3qWLKgm
me and mrs. jones,billy paul,6Ro2z4RtAUew9Kz2HZWZUi
you're so vain,carly simon,2DnJjbjNTV9Nd5NOa1KGba
superstition,stevie wonder,1h2xVEoJORqrg71HocgqXd
crocodile rock,elton john,6WCeFNVAXUtNczb7lqLiZU
killing me softly with,roberta flack,3gsCAGsWr6pUm1Vy7CPPob
love train,the o'jays,28285KFbyCq8sJofn58qlD
the night the lights,vicki lawrence,4ZObql2ASJn1bvasBzjlyI
tie a yellow ribbon,dawn,3NXES1knSS2eUCgkr77QU6
you are the sunshine,stevie wonder,0n2pjCIMKwHSXoYfEbYMfX
frankenstein,edgar winter,2l0Z9fY1E8Bep8opmhmDhq
my love,paul mccartney,0Oj0TT23GBH2XuHAaSsloH
give me love -,george harrison,1ZiN3wseympSLDIFkaWHHC
will it go round,billy preston,0iifjjuozo6r5fh2GWI6Pq
bad bad leroy brown,jim croce,2r3XNMon9K7bl2KTtHsaQO
the morning after,maureen mcgovern,62QRbVm7DqR3eoqgT7pEfs
touch me in the,diana ross,4sIkDCqNjTubfb5UVs8lEA
brother louie,stories,5kbSslE6zBMZnULSrE4SdZ
let's get it on,marvin gaye,627teoJpK7qZOxRRY8TNnv
delta dawn,helen reddy,53RGKUb4zvhHaDCmjgUrIP
we're an american band,grand funk,3XcjIvaZVUFAIdIYZqY9bd
half-breed,cher,23jaOlnV7vHmly51DPBr35
angie,the rolling,1GcVa4jFySlun4jLSuMhiq
midnight train to georgia,gladys knight,7MF7QAodbGzNYav5ZfIhAY
keep on truckin',eddie kendricks,5CiOCxc3argOhj5qKNZGN0
photograph,ringo starr,1hwN2eAwsXgktvw9Qe8TrP
top of the world,carpenters,1Ehdm1PDlKrdfyBsjwEvd1
the most beautiful girl,charlie rich,542C7PqR1oEfl63hlhQO4V
time in a bottle,jim croce,7uWFUpGuEfmxYeymkV95jn
the joker,the steve,1bp2IO61zbQrbWNmKKxg3f
show and tell,al wilson,2vhW1OmaZDYi63Da9d8R5o
you're sixteen,ringo starr,4MAxWahEbzU8m4bD6mSZg9
the way we were,barbra streisand,1vZTgn4JXWMahR8r99ug5H
love's theme,love unlimited,5csdrJ0JtFn0qvwlvSh2EI
seasons in the sun,terry jacks,7pGMRy91RcQT9oHdPgYz3A
dark lady,cher,0xL3tjPSUJncbnIOn1uPhZ
sunshine on my shoulders,john denver,3m8lTUL5GxGUNSaycI77ND
hooked on a feeling,blue swede,2Nz6aF1umHh5Et6I5H581L
bennie and the jets,elton john,5Wj1rJnCLpMHdLaxsFtJLs
tsop,mfsb,7kllQQPam6HumbUCIPSvHJ
the loco-motion,grand funk,0PxYWaGiwWtcuL1VIMiEW4
