,track_name,track_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0,Poor Little Fool,5ayybTSXNwcarDtxQKqvWX,Ricky Nelson,73sSFVlM6pkweLXE8qw1OS,0.13678444299815995,-0.16083620840883872,0,-11.528,1,-0.870466659173422,0.4540179479241546,-1.0,-0.6845869769448761,0.7307773547137362,154.596,4,2:33,0.3937681817109089,-0.5005025698328625,0.34530325865676925,0.4779679094010236
1,Nel Blu Dipinto Di Blu (Volare),006Ndmw2hHxvnLbJsBFnPx,Domenico Modugno,4llklDtTTyMYMY2LfFOkTI,0.22296740316210117,-0.8427956565300604,10,-14.887,1,-0.8102606294865957,0.9985354117197707,-0.019550860364670575,-0.6021834492702294,-0.15498225285056744,127.87,4,3:36,-0.6143491928952177,0.7625461228584969,0.26825711505008143,0.26267428825496286
2,Little Star,6xupOaBWORbDmakCdQwMRG,The Elegants,7bNoMfBqbaLJrfH3Vw1q6L,0.021231221395377586,0.10067563759662912,9,-8.027,1,-0.8700397775371875,0.6487175319835081,-1.0,-0.4437794761102769,0.41984947672581874,72.568,4,2:40,-0.7460542874844691,0.9269482479497719,-0.24964304082077515,0.04812735155442138
3,It's All In The Game,2tvt5K7y1gndmCgtIoLo1f,Tommy Edwards,1ObAu0tz0NlOI6FNHTXchD,0.13081498205255104,-0.16302539177106135,3,-11.964,1,-0.8841488016053334,0.19752598049399106,0.1670947789062096,-0.4612566064062883,0.43237295912216056,70.49,4,2:38,-0.3194451904674914,0.8867175253556205,-0.14478765443620112,0.10573774202260577
4,It's Only Make Believe,1xVOttVNT27FBTD8iHjOfU,Conway Twitty,7gi3jmwpUpNWdswT8eEprF,0.11082848299518355,0.10667365801549789,11,-9.627,1,-0.7446406288552687,0.8062740304042895,0.08957469147672859,-0.6711443175335896,-0.3467413839772735,128.537,4,2:12,-0.45954018552400444,-0.6473544547190739,0.2886355566751546,0.08798143932970026
5,Tom Dooley,2qLxtO0iaFGI9x19vU3bDI,The Kingston Trio,3qtcbDvdIgQOXkPbtRvBaQ,0.4654999995937328,-0.6194980779900119,4,-13.986,1,-0.8199565297107942,0.7205139083645296,-0.0672036261072565,-0.7527051963309386,0.09992774647969216,125.74,4,3:03,0.42563170887474344,0.6458680960567427,-0.018859739107597195,0.1292441048739612
6,To Know Him; Is To Love Him,5msxn2HUcd83qOsuQW7Kdb,The Teddy Bears,4JFunELhYa3ZrJnSWAZl3W,-0.32284048497796325,-0.21829378636215635,2,-9.614,1,-0.8687593812531462,0.9273542189235933,0.11412038604384711,-0.76651364363016,-0.026832552427307088,174.392,3,2:24,-0.043609484121668096,0.9180564378873877,0.566494194756233,0.4571472051187295
7,The Chipmunk Song,02NKMA9cIkq6VuBNu9q9Wf,The Chipmunks With David Seville,1SCWcYnoEh1978ycTDhZoW,0.39718993803656844,-0.0916328072887902,3,-11.548,1,-0.8508728754554009,0.5564078059952857,-0.10400868661150942,-0.42640209353391567,0.6787434687804166,152.559,3,2:21,0.04210147380192608,1.0,-0.09586353955237847,0.4150495817992159
8,Smoke Gets In Your Eyes,2vSxjnyrWrtxyfzO47EX6q,The Platters,6KWcxMWVNVIYbdOQyJtsSy,-0.4584802421992811,-0.25648117411364524,3,-11.155,1,-0.8602329218584194,0.8986903367394676,-0.13654142432274474,-0.5708746139023362,-0.2685186678024203,171.222,3,2:40,-0.717134418141409,0.8972016949867117,0.4203454965593234,0.05614232915747097
9,Stagger Lee,7qoaMWT3eRCKG1RN6dVuOY,Lloyd Price,3iOE5ItEv5xr9fmKi7GNh2,0.06637231511240493,0.4315048581775991,3,-6.859,1,-0.8670527660317403,0.5564078059952857,-1.0,-0.5656876323908744,0.6836612654778094,69.57,4,2:24,-0.24964304082077515,1.0,-0.7223710621954362,-0.33773615556559566
10,Venus,5kqXQHIgQ6UfFP9LfqPNgG,Frankie Avalon,5zNOI87gG4RttFmYAZWaxQ,0.33283195116602493,-0.14120686599506693,10,-18.755,1,-0.8627891239123675,0.7937271612132126,0.957987823705376,-0.7007969038437205,0.7945410384795042,114.883,4,2:24,0.707193012405025,0.9768240514495763,0.30887108169079847,-0.05190680136138892
