,Song,Artist
579,sugar sugar,the archies
583,i can't get next,the temptations
585,suspicious minds,elvis presley
586,wedding bell blues,the 5th dimension
589,come together something,the beatles
590,na na hey hey,steam
592,leaving on a jet,peter paul mary
593,someday we'll be together,diana ross the supremes
594,raindrops keep fallin' on,b.j. thomas
598,i want you back,jackson 5
599,venus,the shocking blue
600,thank you falettinme be,sly the family stone
602,bridge over troubled water,simon garfunkel
608,let it be,the beatles
610,abc,jackson 5
612,american woman no sugar,the guess who
615,everything is beautiful,ray stevens
617,the long and winding,the beatles
619,the love you save,jackson 5
621,mama told me,three dog night
623,close to you,carpenters
627,make it with you,bread
628,war,edwin starr
631,ain't no mountain high,diana ross
634,cracklin' rosie,neil diamond
635,i'll be there,jackson 5
640,i think i love,the partridge family
643,the tears of a,smokey robinson the miracles
645,my sweet lord isn't,george harrison
649,knock three times,dawn
652,one bad apple,the osmonds
657,me and bobby mcgee,janis joplin
659,just my imagination,the temptations
661,joy to the world,three dog night
667,brown sugar,the rolling stones
669,want ads,the honey cone
670,it's too late i,carole king
675,indian reservation,the raiders
676,you've got a friend,james taylor
677,how can you mend,bee gees
681,uncle albert admiral halsey,paul linda mccartney
682,go away little girl,donny osmond
685,maggie may reason to,rod stewart
690,gypsys tramps & thieves,cher
692,theme from shaft,isaac hayes
694,family affair,sly the family stone
697,brand new key,melanie
700,american pie,don mclean
704,let's stay together,al green
705,without you,nilsson
709,heart of gold,neil young
710,a horse with no,america
713,the first time ever,roberta flack
719,oh girl,the chi-lites
720,i'll take you there,the staple singers
721,the candy man,sammy davis jr. with
724,song sung blue,neil diamond
725,lean on me,bill withers
728,alone again,gilbert o'sullivan
732,brandy,looking glass
735,black & white,three dog night
736,baby don't get hooked,mac davis
739,ben,michael jackson
740,my ding-a-ling,chuck berry
742,i can see clearly,johnny nash
746,papa was a rollin',the temptations
747,i am woman,helen reddy
748,me and mrs. jones,billy paul
751,you're so vain,carly simon
754,superstition,stevie wonder
755,crocodile rock,elton john
758,killing me softly with,roberta flack
762,love train,the o'jays
764,the night the lights,vicki lawrence
766,tie a yellow ribbon,dawn
770,you are the sunshine,stevie wonder
771,frankenstein,edgar winter group
772,my love,paul mccartney and wings
776,give me love -,george harrison
777,will it go round,billy preston
779,bad bad leroy brown,jim croce
781,the morning after,maureen mcgovern
783,touch me in the,diana ross
784,brother louie,stories
786,let's get it on,marvin gaye
787,delta dawn,helen reddy
789,we're an american band,grand funk
790,half-breed,cher
792,angie,the rolling stones
793,midnight train to georgia,gladys knight and the
795,keep on truckin',eddie kendricks
797,photograph,ringo starr
798,top of the world,carpenters
800,the most beautiful girl,charlie rich
802,time in a bottle,jim croce
804,the joker,the steve miller band
805,show and tell,al wilson
806,you're sixteen,ringo starr
807,the way we were,barbra streisand
808,love's theme,love unlimited orchestra
811,seasons in the sun,terry jacks
814,dark lady,cher
815,sunshine on my shoulders,john denver
816,hooked on a feeling,blue swede
817,bennie and the jets,elton john
818,tsop,mfsb
820,the loco-motion,grand funk
822,the streak,ray stevens
825,band on the run,paul mccartney and wings
826,billy don't be a,bo donaldson and the
828,sundown,gordon lightfoot
829,rock the boat,the hues corporation
830,rock your baby,george mccrae
832,annie's song,john denver
834,feel like makin' love,roberta flack
835,the night chicago died,paper lace
836,having my baby,paul anka with odia
839,i shot the sheriff,eric clapton
840,can't get enough of,barry white
841,rock me gently,andy kim
842,i honestly love you,olivia newton-john
844,nothing from nothing,billy preston
845,then came you,dionne warwicke spinners
846,you haven't done nothin,stevie wonder
847,you ain't seen nothing,bachman-turner overdrive
848,whatever gets you thru,john lennon with the
849,i can help,billy swan
851,kung fu fighting,carl douglas
853,cat's in the cradle,harry chapin
854,angie baby,helen reddy
855,lucy in the sky,elton john
857,mandy,barry manilow
858,please mr. postman,carpenters
859,laughter in the rain,neil sedaka
860,fire,ohio players
861,you're no good,linda ronstadt
862,pick up the pieces,awb
863,best of my love,eagles
864,have you never been,olivia newton-john
865,black water,the doobie brothers
866,my eyes adored you,frankie valli
867,lady marmalade,labelle
868,lovin' you,minnie riperton
869,philadelphia freedom,the elton john band
871,another somebody done somebody,b.j. thomas
872,he don't love you,tony orlando dawn
875,shining star,earth wind fire
876,before the next teardrop,freddy fender
877,thank god i'm a,john denver
878,sister golden hair,america
879,love will keep us,the captain tennille
883,listen to what the,wings
884,the hustle,van mccoy the soul
885,one of these nights,eagles
886,jive talkin',bee gees
888,fallin' in love,hamilton joe frank reynolds
889,get down tonight,kc and the sunshine
890,rhinestone cowboy,glen campbell
892,fame,david bowie
893,i'm sorry,john denver
895,bad blood,neil sedaka
898,island girl,elton john
901,that's the way,kc and the sunshine
902,fly robin fly,silver convention
906,let's do it again,the staple singers
907,saturday night,bay city rollers
908,convoy,c.w. mccall
909,i write the songs,barry manilow
910,theme from mahogany,diana ross
911,love rollercoaster,ohio players
912,50 ways to leave,paul simon
915,theme from s.w.a.t.,rhythm heritage
916,love machine,the miracles
917,december 1963,the 4 seasons
920,disco lady,johnnie taylor
924,let your love flow,bellamy brothers
925,welcome back,john sebastian
926,boogie fever,the sylvers
927,silly love songs,wings
928,love hangover,diana ross
934,afternoon delight,starland vocal band
936,kiss and say goodbye,the manhattans
938,don't go breaking my,elton john kiki dee
942,you should be dancing,bee gees
943,shake your booty,kc and the sunshine
944,play that funky music,wild cherry
947,a fifth of beethoven,walter murphy the big
948,disco duck,rick dees his cast
949,if you leave me,chicago
951,rock'n me,steve miller
952,tonight's the night,rod stewart
960,you don't have to,marilyn mccoo billy davis
961,you make me feel,leo sayer
962,i wish,stevie wonder
963,car wash,rose royce
964,torn between two lovers,mary macgregor
966,blinded by the light,manfred mann's earth band
967,new kid in town,eagles
968,evergreen,barbra streisand
971,rich girl,daryl hall john oates
973,dancing queen,abba
974,don't give up on,david soul
975,don't leave me this,thelma houston
976,southern nights,glen campbell
977,hotel california,eagles
978,when i need you,leo sayer
979,sir duke,stevie wonder
982,i'm your boogie man,kc and the sunshine
983,dreams,fleetwood mac
984,got to give it,marvin gaye
985,gonna fly now,bill conti
986,undercover angel,alan o'day
987,da doo ron ron,shaun cassidy
988,looks like we made,barry manilow
989,i just want to,andy gibb
992,best of my love,the emotions
998,star wars theme cantina,meco
1000,you light up my,debby boone
1010,how deep is your,bee gees
1013,baby come back,player
1016,stayin' alive,bee gees
1020,thicker than water,andy gibb
1022,night fever,bee gees
1030,if i can't have,yvonne elliman
1031,with a little luck,wings
1033,too much too little,johnny mathis deniece williams
1034,you're the one that,john travolta olivia newton-john
1035,shadow dancing,andy gibb
1042,miss you,the rolling stones
1043,three times a lady,commodores
1045,grease,frankie valli
1047,boogie oogie oogie,a taste of honey
1050,kiss you all over,exile
1054,hot child in the,nick gilder
1055,you needed me,anne murray
1056,macarthur park,donna summer
1059,you don't bring me,barbra streisand neil diamond
1060,le freak,chic
1064,too much heaven,bee gees
1069,da ya think i'm,rod stewart
1073,i will survive,gloria gaynor
1075,tragedy,bee gees
1078,what a fool believes,the doobie brothers
1079,knock on wood,amii stewart
1080,heart of glass,blondie
1081,reunited,peaches herb
1085,hot stuff,donna summer
1086,love you inside out,bee gees
1089,ring my bell,anita ward
1091,bad girls,donna summer
1096,good times,chic
1097,my sharona,the knack
1103,sad eyes,robert john
1104,don't stop 'til you,michael jackson
1105,rise,herb alpert
1107,pop muzik,m
1108,heartache tonight,eagles
1109,still,commodores
1110,no more tears,barbra streisand donna summer
1112,babe,styx
1114,escape,rupert holmes
1116,please don't go,kc and the sunshine
1118,rock with you,michael jackson
1122,do that to me,captain tennille
1123,crazy little thing called,queen
1127,another brick in the,pink floyd
1131,call me,blondie
1137,funkytown,lipps inc.
1141,coming up,paul mccartney and wings
1144,it's still rock and,billy joel
1146,magic,olivia newton-john
1150,sailing,christopher cross
1151,upside down,diana ross
1155,another one bites the,queen
1158,woman in love,barbra streisand
1161,lady,kenny rogers
1167,starting over,john lennon
1172,the tide is high,blondie
1173,celebration,kool the gang
1175,9 to 5,dolly parton
1176,i love a rainy,eddie rabbitt
1179,keep on loving you,reo speedwagon
1180,rapture,blondie
1182,kiss on my list,daryl hall john oates
1185,morning train,sheena easton
1187,bette davis eyes,kim carnes
1192,medley,stars on 45
1197,the one that you,air supply
1198,jessie's girl,rick springfield
1200,endless love,diana ross lionel richie
1209,arthur's theme,christopher cross
1212,private eyes,daryl hall john oates
1214,physical,olivia newton-john
1224,i can't go for,daryl hall john oates
1225,centerfold,the j. geils band
1231,i love rock 'n,joan jett the blackhearts
1238,chariots of fire -,vangelis
1239,ebony and ivory,paul mccartney and stevie
1246,don't you want me,the human league
1249,eye of the tiger,survivor
1255,abracadabra,the steve miller band
1256,hard to say i'm,chicago
1259,jack & diane,john cougar
1263,who can it be,men at work
1264,up where we belong,joe cocker and jennifer
