Song,Artist,Track ID,Artist ID,Album ID
Save The Last Dance For Me,The Drifters,391TUcoPonqYykPkSZ5Z9U,1FqqOl9itIUpXr4jZPIVoT,6sWL3HHXGkqlST0rfWXvBU
I Want To Be Wanted,Brenda Lee,03cB3gd91JsP3bCERC6Lmf,4cPHsZM98sKzmV26wlwD2W,7Kh2ce3pejIOQ9izmtFDSE
Georgia On My Mind,Ray Charles,6yMGxqKj0218mFR5KqsMRq,1eYhYunlNJlDoQhtYBvPsi,7gvxyetkX6vkoMyDkDM6ls
Stay,Maurice Williams & The Zodiacs,12BB5t506Of3s3NPBoKScC,1CgE69lpZKGAcA5kIIK82D,742DgTRTmsBGMGxOcTPLIo
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,4xUqqie4bBKufHtlMuZS3k,43ZHCT0cAZBISjO8DG9PnE,0gv5aiVS1WBUZOKeb7YawE
Wonderland By Night,Bert Kaempfert And His Orchestra,5Ik1BD4gKzxofvNgSRQbCF,2s6JabvZdqVQhfOsaxCSFX,4NJgRrbHDkPMBMkup98HpB
Will You Love Me Tomorrow,The Shirelles,4QMvxtZGcmvwWtmmoiRs5B,0x83OBqixqdCHnStP5VMcn,13MaoinwLDJqTHPMEr0efZ
Calcutta,Lawrence Welk And His Orchestra,10VtM4vN0l9y4r0YTjVYaA,2GMH35k5oLCjzYpn5HbaD8,49chd9CpYkrqAUpJDeUXII
Pony Time,Chubby Checker,45gAw2xmDx9DZAnoiJK723,7qQJQ3YtcGlqaLg5tcypN2,4btfmKwgAHFtN7BQUSHta0
Surrender,Elvis Presley With The Jordanaires,366wRPrx2airjcCRkxgoS2,43ZHCT0cAZBISjO8DG9PnE,5Iec810oL6PorbyBVjLnmD
Blue Moon,The Marcels,0pnfT3OLqlnIvO0uMYgCfM,1JQYskbOoudT9cylam24a3,5B6Ij5KwgUKJYzCQoc2qor
Runaway,Del Shannon,45Szkclj1lt4ubm7RFK68t,3c8WoNjBfyLJhFObE6RHgs,6dWi04y7CwB5M0XvzAewKT
Mother-In-Law,Ernie K-Doe,7qEwxMKJu8EsjvOoxMJoTT,3ybBNyjii40yY104IZkcly,6c4nmcYRtVv3eKNyfESy2K
Travelin' Man,Ricky Nelson,1sM0yZDxUhPQhkDh2CLd6l,73sSFVlM6pkweLXE8qw1OS,0eWkaY2z2iBw1t7M8eHKQe
Running Scared,Roy Orbison,6sbj89WozjblBMa5u41orw,0JDkhL4rjiPNEp92jAgJnS,21REQ6X34DCAcoxtj654TI
Moody River,Pat Boone,2TEdI0KNrYHo4UPhrt0ais,7fmKtIgmxqNEKjATioVNsu,4UfDMjg8GFc3RZx5KILDlZ
Quarter To Three,U.S. Bonds,5mOECh8BAECe5HEHzJUvpd,1Qw8MHpjYxm9Xf0O1ZfPiX,6eTUepR4tUo3FSBOhfs8X3
Tossin' And Turnin',Bobby Lewis,79s3pSe1u6ggQBEwVPm58Z,6KfBWaX13etjtEZ4d9aTWW,31JyXxhju4kXiYJwdjb3u3
Wooden Heart,Joe Dowell,2ELAMT68a78OGwhCgj9Kai,1b5taabb9eKSbyzVFVtEjh,2vbGrveqwAdzAguDJBYFfi
Michael,The Highwaymen,25TcXSVruQ3Oox1RyqRCFf,4lh4sNnXlHYs8DQa3dnLal,2DKVIjhZhloJ7o8oMuhQXG
Take Good Care Of My Baby,Bobby Vee,06JokgprGDKrtZ1eP6z2CQ,5MX2l6ewjOaeWn1lYNhzlO,4yB0nAAZLuRNK4xdme2axu
Hit The Road Jack,Ray Charles And His Orchestra With The Raelettes,5dUMh0ugelpKfoFp3qChuK,1eYhYunlNJlDoQhtYBvPsi,7gvxyetkX6vkoMyDkDM6ls
Runaround Sue,Dion,1DndHckdH9m5rp6gYP086b,15FyiY3ChN0QRspHIQYq0W,20vUqyMzF8fgQhkdLdtzi7
Big Bad John,Jimmy Dean,61uAY9xdzYiIbYJ07XvKso,1RaDKTFXuy0qA8YV1h9SwC,2vCenQXDX4DqtRShqJzCci
Please Mr. Postman,The Marvelettes,6jX5mso4x00c1EiNMrTU9U,0MponVSpW81oLvJZ53vYZH,65n7GqedAHDVRWNh3msH1V
The Lion Sleeps Tonight,The Tokens,2F4FNcz68howQWD4zaGJSi,1GAJzApRTMmYZ9EjQ91VOy,6NBox81OQox7U4I0hZB9t0
Peppermint Twist - Part I,Joey Dee & the Starliters,227euiIPZryCQGJsYNuwW3,7AhwU55MQG9KtNtwr9JoZN,5KvGaSy5ol8X8pLMa9fVFn
Duke Of Earl,Gene Chandler,6Hy22YDN9HJMRlJP1LwnJy,52uMkSFt2RVO6XxTEt5VeW,2VmU63FIBsGgQYItCvsYkl
Hey! Baby,Bruce Channel,0obIo2GEab6qqms6t3JaMY,5Do19ow5oRPYYU46jqdkwh,09YAng6bZ2wJVcL3MWVCri
Don't Break The Heart That Loves You,Connie Francis,2fAB9BufYdc9AJLE6BusXP,3EY5DxGdy7x4GelivOjS2Q,6CTiCTGft53NcVMsAxxgCQ
Johnny Angel,Shelley Fabares,6XEW0P64pYXfD06e4oLcWz,6ZID5oFfvvgzIRrqXaTJSy,3gm0Xom6PrWBT1t6ua7oE0
Good Luck Charm,Elvis Presley With The Jordanaires,19gotedXtqeE8dWju6WURW,43ZHCT0cAZBISjO8DG9PnE,5Iec810oL6PorbyBVjLnmD
Soldier Boy,The Shirelles,7xt1KHm7ToHgfOaNhvONRR,0x83OBqixqdCHnStP5VMcn,13MaoinwLDJqTHPMEr0efZ
Stranger On The Shore,Mr. Acker Bilk,1UUqBCegaEWTuaYdwc7QQx,5bdgb81IJMXag724quaNSA,6ZCdOGIHzBGJwcqVrdG9Co
I Can't Stop Loving You,Ray Charles,2b8cQfktOXRqaeAXSB4zaP,1eYhYunlNJlDoQhtYBvPsi,0UvA1bMY9dqS6LQ4ktBl4y
The Stripper,David Rose and His Orchestra,00vH2PsEQTGRyJYhyIyDbr,2nv8pUrGHqpVzYvQCyiKjk,5Uc8NaZzkuFN7AFDwtm1Rf
Roses Are Red (My Love),Bobby Vinton,5zw4SajQ2IKvjnSWXOSDrh,6bOYtKnpLPQSfMpS2ilotK,3bi87ndwfdokCp0Km4fxoJ
Breaking Up Is Hard To Do,Neil Sedaka,2x6pbpjVGjiWCcH89IK8AX,5N6GwJzOcOY5kv8p0NjhYL,66qxRQqOy7kVcsVpT0OVFZ
The Loco-Motion,Little Eva,5xzdDMhFYiuUONB0Mha9VS,4S76LQXJD6N2uPcLhKejG8,1e6fzvmRJi8r6TInJhimdj
Sheila,Tommy Roe,5Mzu8smN6fRBCaUaTytD1W,7t4XHvWfj0XtEB8SNFeALw,24v9C4Fe2Ik7jcldSXWwbk
Sherry,The 4 Seasons,7sqK6f8dHVx3Q1GjFrVyGl,6mcrZQmgzFGRWf7C0SObou,18rFAAWrT2wzvWckYmoLnE
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",0xxZY5C9xxij3D1HkzbnfC,42MRYPhQfcEXqb18dl5ERX,1yW6XU0pw5ZqDeu81OAaCr
He's A Rebel,The Crystals,0mG8Hety4RELeo6p808fcy,7rewR1TVjhisjI6gauUamf,11ho9FxQbJjMbQn1P1yWpm
Big Girls Don't Cry,The 4 Seasons,00meczE1jpLTX0BBzIGrAR,6mcrZQmgzFGRWf7C0SObou,18rFAAWrT2wzvWckYmoLnE
Telstar,The Tornadoes,5e7Iydav7OtvZft8sB2pW7,3SblTU11ZKURsHhWGwPpt9,12d1FFON3Sa6k4YknKEQCJ
Go Away Little Girl,Steve Lawrence,0xx4lbu88MyZRjq8f45B0e,271pvVqDFiREx6PqzwOX8p,29JhBdtiRHwYqClsCCih2R
Walk Right In,The Rooftop Singers,4WhT2YADjcU58IUgroWZQZ,6Gb08eT3LlkGynDscl9vbz,1BuP3K4tWcL1WSpUcLQHyz
Hey Paula,Paul and Paula,3kl9waNDdEv2BqDJBu9fuw,2pycVt1qR9u8bKdb4oLI98,2FF9i414vwTDa2sJWrhIqh
Walk Like A Man,The 4 Seasons,4C76SOnBa9eQDwOwe11hPz,6mcrZQmgzFGRWf7C0SObou,21nYbsqCxRcKE1gOB9f98a
Our Day Will Come,Ruby And The Romantics,3ngYXFSYtF5mHguNCA3JZ0,7y0ngZzIllkP8ZOqgTKQFc,4ld3rO6I2P7CmDDtksx19D
He's So Fine,The Chiffons,2Bs1Lw9LX8hBm70t1iGdlh,05sIdEkXAYDbDDdv3T56Oj,1WvYZcG9v3WzzNNkwpreGq
